"ano","mun","idade_grp","sexo","causabas","obitos"
2010,"Campinas","0-4","Feminino","(D65-D77)",1
2010,"Campinas","0-4","Feminino","(G10-G99)",1
2010,"Campinas","0-4","Feminino","(Outros)",82
2010,"Campinas","0-4","Masculino","(G10-G99)",1
2010,"Campinas","0-4","Masculino","(Outros)",100
2010,"Campinas","10-14","Feminino","(G10-G99)",1
2010,"Campinas","10-14","Feminino","(Outros)",6
2010,"Campinas","10-14","Masculino","(Outros)",11
2010,"Campinas","15-19","Feminino","(Outros)",13
2010,"Campinas","15-19","Masculino","(G10-G99)",2
2010,"Campinas","15-19","Masculino","(Outros)",39
2010,"Campinas","20-24","Feminino","(G10-G99)",1
2010,"Campinas","20-24","Feminino","(Outros)",19
2010,"Campinas","20-24","Masculino","(E10-E14)",1
2010,"Campinas","20-24","Masculino","(Outros)",73
2010,"Campinas","25-29","Feminino","(Outros)",23
2010,"Campinas","25-29","Masculino","(D65-D77)",1
2010,"Campinas","25-29","Masculino","(G10-G99)",1
2010,"Campinas","25-29","Masculino","(Outros)",85
2010,"Campinas","30-34","Feminino","(G10-G99)",1
2010,"Campinas","30-34","Feminino","(J40-J44)",1
2010,"Campinas","30-34","Feminino","(Outros)",41
2010,"Campinas","30-34","Masculino","(D80-D89)",1
2010,"Campinas","30-34","Masculino","(E10-E14)",1
2010,"Campinas","30-34","Masculino","(E66)",1
2010,"Campinas","30-34","Masculino","(G10-G99)",1
2010,"Campinas","30-34","Masculino","(Outros)",93
2010,"Campinas","35-39","Feminino","(E66)",1
2010,"Campinas","35-39","Feminino","(J09-J11)",1
2010,"Campinas","35-39","Feminino","(N17-N19)",1
2010,"Campinas","35-39","Feminino","(Outros)",36
2010,"Campinas","35-39","Masculino","(G10-G99)",1
2010,"Campinas","35-39","Masculino","(J40-J44)",1
2010,"Campinas","35-39","Masculino","(N17-N19)",1
2010,"Campinas","35-39","Masculino","(Outros)",102
2010,"Campinas","40-44","Feminino","(E10-E14)",1
2010,"Campinas","40-44","Feminino","(E66)",1
2010,"Campinas","40-44","Feminino","(G10-G99)",1
2010,"Campinas","40-44","Feminino","(J40-J44)",1
2010,"Campinas","40-44","Feminino","(Outros)",49
2010,"Campinas","40-44","Masculino","(E10-E14)",1
2010,"Campinas","40-44","Masculino","(I20, I23-I25)",1
2010,"Campinas","40-44","Masculino","(I80-I82)",1
2010,"Campinas","40-44","Masculino","(J40-J44)",2
2010,"Campinas","40-44","Masculino","(J45-J46)",2
2010,"Campinas","40-44","Masculino","(N17-N19)",1
2010,"Campinas","40-44","Masculino","(Outros)",129
2010,"Campinas","45-49","Feminino","(E10-E14)",4
2010,"Campinas","45-49","Feminino","(E66)",1
2010,"Campinas","45-49","Feminino","(I20, I23-I25)",1
2010,"Campinas","45-49","Feminino","(Outros)",94
2010,"Campinas","45-49","Masculino","(E10-E14)",4
2010,"Campinas","45-49","Masculino","(E66)",1
2010,"Campinas","45-49","Masculino","(G10-G99)",1
2010,"Campinas","45-49","Masculino","(I20, I23-I25)",1
2010,"Campinas","45-49","Masculino","(J40-J44)",3
2010,"Campinas","45-49","Masculino","(Outros)",155
2010,"Campinas","5-9","Feminino","(Outros)",6
2010,"Campinas","5-9","Masculino","(Outros)",4
2010,"Campinas","50-54","Feminino","(D65-D77)",1
2010,"Campinas","50-54","Feminino","(E10-E14)",4
2010,"Campinas","50-54","Feminino","(E66)",2
2010,"Campinas","50-54","Feminino","(G10-G99)",1
2010,"Campinas","50-54","Feminino","(I20, I23-I25)",2
2010,"Campinas","50-54","Feminino","(I80-I82)",1
2010,"Campinas","50-54","Feminino","(J40-J44)",4
2010,"Campinas","50-54","Feminino","(J45-J46)",1
2010,"Campinas","50-54","Feminino","(Outros)",102
2010,"Campinas","50-54","Masculino","(D65-D77)",1
2010,"Campinas","50-54","Masculino","(E10-E14)",5
2010,"Campinas","50-54","Masculino","(E66)",2
2010,"Campinas","50-54","Masculino","(G10-G99)",1
2010,"Campinas","50-54","Masculino","(I20, I23-I25)",5
2010,"Campinas","50-54","Masculino","(J40-J44)",1
2010,"Campinas","50-54","Masculino","(Outros)",237
2010,"Campinas","55-59","Feminino","(E10-E14)",3
2010,"Campinas","55-59","Feminino","(G10-G99)",1
2010,"Campinas","55-59","Feminino","(I20, I23-I25)",2
2010,"Campinas","55-59","Feminino","(I80-I82)",1
2010,"Campinas","55-59","Feminino","(J40-J44)",3
2010,"Campinas","55-59","Feminino","(J45-J46)",1
2010,"Campinas","55-59","Feminino","(N17-N19)",1
2010,"Campinas","55-59","Feminino","(Outros)",137
2010,"Campinas","55-59","Masculino","(E10-E14)",14
2010,"Campinas","55-59","Masculino","(E66)",1
2010,"Campinas","55-59","Masculino","(G10-G99)",2
2010,"Campinas","55-59","Masculino","(I20, I23-I25)",3
2010,"Campinas","55-59","Masculino","(I80-I82)",1
2010,"Campinas","55-59","Masculino","(J40-J44)",4
2010,"Campinas","55-59","Masculino","(N17-N19)",1
2010,"Campinas","55-59","Masculino","(Outros)",241
2010,"Campinas","60-64","Feminino","(E10-E14)",7
2010,"Campinas","60-64","Feminino","(E66)",2
2010,"Campinas","60-64","Feminino","(G10-G99)",1
2010,"Campinas","60-64","Feminino","(I20, I23-I25)",2
2010,"Campinas","60-64","Feminino","(I80-I82)",1
2010,"Campinas","60-64","Feminino","(J40-J44)",4
2010,"Campinas","60-64","Feminino","(N17-N19)",1
2010,"Campinas","60-64","Feminino","(Outros)",166
2010,"Campinas","60-64","Masculino","(E10-E14)",9
2010,"Campinas","60-64","Masculino","(G10-G99)",2
2010,"Campinas","60-64","Masculino","(I20, I23-I25)",6
2010,"Campinas","60-64","Masculino","(I80-I82)",1
2010,"Campinas","60-64","Masculino","(J40-J44)",6
2010,"Campinas","60-64","Masculino","(N17-N19)",2
2010,"Campinas","60-64","Masculino","(Outros)",268
2010,"Campinas","65-69","Feminino","(E10-E14)",8
2010,"Campinas","65-69","Feminino","(G10-G99)",2
2010,"Campinas","65-69","Feminino","(I20, I23-I25)",2
2010,"Campinas","65-69","Feminino","(I80-I82)",1
2010,"Campinas","65-69","Feminino","(J40-J44)",10
2010,"Campinas","65-69","Feminino","(J45-J46)",1
2010,"Campinas","65-69","Feminino","(N17-N19)",3
2010,"Campinas","65-69","Feminino","(Outros)",215
2010,"Campinas","65-69","Masculino","(D65-D77)",1
2010,"Campinas","65-69","Masculino","(E10-E14)",11
2010,"Campinas","65-69","Masculino","(E66)",1
2010,"Campinas","65-69","Masculino","(G10-G99)",5
2010,"Campinas","65-69","Masculino","(I20, I23-I25)",8
2010,"Campinas","65-69","Masculino","(J40-J44)",13
2010,"Campinas","65-69","Masculino","(Outros)",290
2010,"Campinas","70-74","Feminino","(D65-D77)",1
2010,"Campinas","70-74","Feminino","(E10-E14)",9
2010,"Campinas","70-74","Feminino","(E66)",2
2010,"Campinas","70-74","Feminino","(G10-G99)",1
2010,"Campinas","70-74","Feminino","(I20, I23-I25)",7
2010,"Campinas","70-74","Feminino","(I80-I82)",1
2010,"Campinas","70-74","Feminino","(J40-J44)",14
2010,"Campinas","70-74","Feminino","(J45-J46)",2
2010,"Campinas","70-74","Feminino","(N17-N19)",1
2010,"Campinas","70-74","Feminino","(Outros)",248
2010,"Campinas","70-74","Masculino","(D65-D77)",1
2010,"Campinas","70-74","Masculino","(E10-E14)",13
2010,"Campinas","70-74","Masculino","(G10-G99)",1
2010,"Campinas","70-74","Masculino","(I20, I23-I25)",7
2010,"Campinas","70-74","Masculino","(J40-J44)",17
2010,"Campinas","70-74","Masculino","(N17-N19)",1
2010,"Campinas","70-74","Masculino","(Outros)",364
2010,"Campinas","75-79","Feminino","(E10-E14)",17
2010,"Campinas","75-79","Feminino","(E66)",1
2010,"Campinas","75-79","Feminino","(G10-G99)",1
2010,"Campinas","75-79","Feminino","(I20, I23-I25)",7
2010,"Campinas","75-79","Feminino","(J40-J44)",19
2010,"Campinas","75-79","Feminino","(N17-N19)",3
2010,"Campinas","75-79","Feminino","(Outros)",284
2010,"Campinas","75-79","Masculino","(E10-E14)",18
2010,"Campinas","75-79","Masculino","(G10-G99)",1
2010,"Campinas","75-79","Masculino","(I20, I23-I25)",12
2010,"Campinas","75-79","Masculino","(I80-I82)",2
2010,"Campinas","75-79","Masculino","(J40-J44)",28
2010,"Campinas","75-79","Masculino","(J45-J46)",1
2010,"Campinas","75-79","Masculino","(N17-N19)",5
2010,"Campinas","75-79","Masculino","(Outros)",331
2010,"Campinas","80+","Feminino","(E10-E14)",40
2010,"Campinas","80+","Feminino","(G10-G99)",2
2010,"Campinas","80+","Feminino","(I20, I23-I25)",33
2010,"Campinas","80+","Feminino","(I80-I82)",4
2010,"Campinas","80+","Feminino","(J40-J44)",39
2010,"Campinas","80+","Feminino","(J45-J46)",3
2010,"Campinas","80+","Feminino","(N17-N19)",6
2010,"Campinas","80+","Feminino","(Outros)",1134
2010,"Campinas","80+","Masculino","(D65-D77)",1
2010,"Campinas","80+","Masculino","(E10-E14)",23
2010,"Campinas","80+","Masculino","(G10-G99)",5
2010,"Campinas","80+","Masculino","(I20, I23-I25)",29
2010,"Campinas","80+","Masculino","(I80-I82)",1
2010,"Campinas","80+","Masculino","(J40-J44)",62
2010,"Campinas","80+","Masculino","(J45-J46)",1
2010,"Campinas","80+","Masculino","(N17-N19)",14
2010,"Campinas","80+","Masculino","(Outros)",679
2010,"Guarulhos","0-4","Feminino","(D65-D77)",1
2010,"Guarulhos","0-4","Feminino","(G10-G99)",2
2010,"Guarulhos","0-4","Feminino","(Outros)",118
2010,"Guarulhos","0-4","Masculino","(J40-J44)",1
2010,"Guarulhos","0-4","Masculino","(Outros)",183
2010,"Guarulhos","0-4",NA,"(Outros)",1
2010,"Guarulhos","10-14","Feminino","(Outros)",11
2010,"Guarulhos","10-14","Masculino","(G10-G99)",1
2010,"Guarulhos","10-14","Masculino","(Outros)",16
2010,"Guarulhos","15-19","Feminino","(E10-E14)",1
2010,"Guarulhos","15-19","Feminino","(J45-J46)",1
2010,"Guarulhos","15-19","Feminino","(Outros)",13
2010,"Guarulhos","15-19","Masculino","(D65-D77)",1
2010,"Guarulhos","15-19","Masculino","(D80-D89)",1
2010,"Guarulhos","15-19","Masculino","(G10-G99)",1
2010,"Guarulhos","15-19","Masculino","(Outros)",74
2010,"Guarulhos","20-24","Feminino","(E10-E14)",1
2010,"Guarulhos","20-24","Feminino","(Outros)",24
2010,"Guarulhos","20-24","Masculino","(D65-D77)",1
2010,"Guarulhos","20-24","Masculino","(G10-G99)",1
2010,"Guarulhos","20-24","Masculino","(Outros)",106
2010,"Guarulhos","25-29","Feminino","(D65-D77)",2
2010,"Guarulhos","25-29","Feminino","(E10-E14)",1
2010,"Guarulhos","25-29","Feminino","(Outros)",30
2010,"Guarulhos","25-29","Masculino","(G10-G99)",1
2010,"Guarulhos","25-29","Masculino","(Outros)",140
2010,"Guarulhos","30-34","Feminino","(D80-D89)",1
2010,"Guarulhos","30-34","Feminino","(E10-E14)",2
2010,"Guarulhos","30-34","Feminino","(Outros)",50
2010,"Guarulhos","30-34","Masculino","(G10-G99)",2
2010,"Guarulhos","30-34","Masculino","(Outros)",118
2010,"Guarulhos","35-39","Feminino","(D65-D77)",1
2010,"Guarulhos","35-39","Feminino","(G10-G99)",2
2010,"Guarulhos","35-39","Feminino","(I80-I82)",1
2010,"Guarulhos","35-39","Feminino","(N17-N19)",1
2010,"Guarulhos","35-39","Feminino","(Outros)",61
2010,"Guarulhos","35-39","Masculino","(D65-D77)",1
2010,"Guarulhos","35-39","Masculino","(E10-E14)",2
2010,"Guarulhos","35-39","Masculino","(E66)",1
2010,"Guarulhos","35-39","Masculino","(I20, I23-I25)",2
2010,"Guarulhos","35-39","Masculino","(Outros)",150
2010,"Guarulhos","40-44","Feminino","(E66)",1
2010,"Guarulhos","40-44","Feminino","(I20, I23-I25)",2
2010,"Guarulhos","40-44","Feminino","(J40-J44)",1
2010,"Guarulhos","40-44","Feminino","(Outros)",98
2010,"Guarulhos","40-44","Masculino","(E10-E14)",1
2010,"Guarulhos","40-44","Masculino","(I20, I23-I25)",3
2010,"Guarulhos","40-44","Masculino","(J40-J44)",3
2010,"Guarulhos","40-44","Masculino","(Outros)",182
2010,"Guarulhos","45-49","Feminino","(E10-E14)",1
2010,"Guarulhos","45-49","Feminino","(E66)",2
2010,"Guarulhos","45-49","Feminino","(J40-J44)",2
2010,"Guarulhos","45-49","Feminino","(J45-J46)",1
2010,"Guarulhos","45-49","Feminino","(N17-N19)",1
2010,"Guarulhos","45-49","Feminino","(Outros)",137
2010,"Guarulhos","45-49","Masculino","(E10-E14)",2
2010,"Guarulhos","45-49","Masculino","(E66)",1
2010,"Guarulhos","45-49","Masculino","(G10-G99)",2
2010,"Guarulhos","45-49","Masculino","(I20, I23-I25)",4
2010,"Guarulhos","45-49","Masculino","(J40-J44)",3
2010,"Guarulhos","45-49","Masculino","(J45-J46)",1
2010,"Guarulhos","45-49","Masculino","(Outros)",216
2010,"Guarulhos","5-9","Feminino","(G10-G99)",1
2010,"Guarulhos","5-9","Feminino","(Outros)",9
2010,"Guarulhos","5-9","Masculino","(G10-G99)",2
2010,"Guarulhos","5-9","Masculino","(Outros)",14
2010,"Guarulhos","50-54","Feminino","(E10-E14)",4
2010,"Guarulhos","50-54","Feminino","(E66)",3
2010,"Guarulhos","50-54","Feminino","(I20, I23-I25)",4
2010,"Guarulhos","50-54","Feminino","(J40-J44)",3
2010,"Guarulhos","50-54","Feminino","(J45-J46)",1
2010,"Guarulhos","50-54","Feminino","(N17-N19)",4
2010,"Guarulhos","50-54","Feminino","(Outros)",145
2010,"Guarulhos","50-54","Masculino","(E10-E14)",7
2010,"Guarulhos","50-54","Masculino","(E66)",1
2010,"Guarulhos","50-54","Masculino","(G10-G99)",2
2010,"Guarulhos","50-54","Masculino","(I20, I23-I25)",12
2010,"Guarulhos","50-54","Masculino","(J40-J44)",5
2010,"Guarulhos","50-54","Masculino","(N17-N19)",3
2010,"Guarulhos","50-54","Masculino","(Outros)",274
2010,"Guarulhos","55-59","Feminino","(E10-E14)",6
2010,"Guarulhos","55-59","Feminino","(G10-G99)",2
2010,"Guarulhos","55-59","Feminino","(I20, I23-I25)",6
2010,"Guarulhos","55-59","Feminino","(J40-J44)",8
2010,"Guarulhos","55-59","Feminino","(J45-J46)",1
2010,"Guarulhos","55-59","Feminino","(N17-N19)",2
2010,"Guarulhos","55-59","Feminino","(Outros)",182
2010,"Guarulhos","55-59","Masculino","(D65-D77)",1
2010,"Guarulhos","55-59","Masculino","(E10-E14)",9
2010,"Guarulhos","55-59","Masculino","(G10-G99)",1
2010,"Guarulhos","55-59","Masculino","(I20, I23-I25)",13
2010,"Guarulhos","55-59","Masculino","(I80-I82)",1
2010,"Guarulhos","55-59","Masculino","(J40-J44)",4
2010,"Guarulhos","55-59","Masculino","(N17-N19)",5
2010,"Guarulhos","55-59","Masculino","(Outros)",326
2010,"Guarulhos","60-64","Feminino","(E10-E14)",9
2010,"Guarulhos","60-64","Feminino","(E66)",2
2010,"Guarulhos","60-64","Feminino","(G10-G99)",1
2010,"Guarulhos","60-64","Feminino","(I20, I23-I25)",6
2010,"Guarulhos","60-64","Feminino","(I80-I82)",2
2010,"Guarulhos","60-64","Feminino","(J40-J44)",5
2010,"Guarulhos","60-64","Feminino","(J45-J46)",1
2010,"Guarulhos","60-64","Feminino","(Outros)",238
2010,"Guarulhos","60-64","Masculino","(D65-D77)",1
2010,"Guarulhos","60-64","Masculino","(E10-E14)",19
2010,"Guarulhos","60-64","Masculino","(E66)",1
2010,"Guarulhos","60-64","Masculino","(I20, I23-I25)",10
2010,"Guarulhos","60-64","Masculino","(J40-J44)",9
2010,"Guarulhos","60-64","Masculino","(N17-N19)",3
2010,"Guarulhos","60-64","Masculino","(Outros)",331
2010,"Guarulhos","65-69","Feminino","(E10-E14)",16
2010,"Guarulhos","65-69","Feminino","(E66)",1
2010,"Guarulhos","65-69","Feminino","(I20, I23-I25)",10
2010,"Guarulhos","65-69","Feminino","(J40-J44)",10
2010,"Guarulhos","65-69","Feminino","(Outros)",231
2010,"Guarulhos","65-69","Masculino","(E10-E14)",15
2010,"Guarulhos","65-69","Masculino","(G10-G99)",2
2010,"Guarulhos","65-69","Masculino","(I20, I23-I25)",11
2010,"Guarulhos","65-69","Masculino","(I80-I82)",1
2010,"Guarulhos","65-69","Masculino","(J09-J11)",1
2010,"Guarulhos","65-69","Masculino","(J40-J44)",13
2010,"Guarulhos","65-69","Masculino","(N17-N19)",2
2010,"Guarulhos","65-69","Masculino","(Outros)",316
2010,"Guarulhos","70-74","Feminino","(E10-E14)",9
2010,"Guarulhos","70-74","Feminino","(G10-G99)",1
2010,"Guarulhos","70-74","Feminino","(I20, I23-I25)",20
2010,"Guarulhos","70-74","Feminino","(I80-I82)",1
2010,"Guarulhos","70-74","Feminino","(J40-J44)",7
2010,"Guarulhos","70-74","Feminino","(J45-J46)",1
2010,"Guarulhos","70-74","Feminino","(N17-N19)",3
2010,"Guarulhos","70-74","Feminino","(Outros)",267
2010,"Guarulhos","70-74","Masculino","(D65-D77)",1
2010,"Guarulhos","70-74","Masculino","(E10-E14)",16
2010,"Guarulhos","70-74","Masculino","(I20, I23-I25)",14
2010,"Guarulhos","70-74","Masculino","(J40-J44)",20
2010,"Guarulhos","70-74","Masculino","(J45-J46)",1
2010,"Guarulhos","70-74","Masculino","(N17-N19)",2
2010,"Guarulhos","70-74","Masculino","(Outros)",295
2010,"Guarulhos","75-79","Feminino","(E10-E14)",10
2010,"Guarulhos","75-79","Feminino","(E66)",1
2010,"Guarulhos","75-79","Feminino","(G10-G99)",2
2010,"Guarulhos","75-79","Feminino","(I20, I23-I25)",6
2010,"Guarulhos","75-79","Feminino","(I80-I82)",2
2010,"Guarulhos","75-79","Feminino","(J40-J44)",15
2010,"Guarulhos","75-79","Feminino","(N17-N19)",2
2010,"Guarulhos","75-79","Feminino","(Outros)",280
2010,"Guarulhos","75-79","Masculino","(E10-E14)",10
2010,"Guarulhos","75-79","Masculino","(G10-G99)",2
2010,"Guarulhos","75-79","Masculino","(I20, I23-I25)",12
2010,"Guarulhos","75-79","Masculino","(I80-I82)",2
2010,"Guarulhos","75-79","Masculino","(J40-J44)",27
2010,"Guarulhos","75-79","Masculino","(N17-N19)",4
2010,"Guarulhos","75-79","Masculino","(Outros)",267
2010,"Guarulhos","80+","Feminino","(E10-E14)",31
2010,"Guarulhos","80+","Feminino","(I20, I23-I25)",23
2010,"Guarulhos","80+","Feminino","(I80-I82)",4
2010,"Guarulhos","80+","Feminino","(J40-J44)",34
2010,"Guarulhos","80+","Feminino","(J45-J46)",3
2010,"Guarulhos","80+","Feminino","(N17-N19)",6
2010,"Guarulhos","80+","Feminino","(Outros)",670
2010,"Guarulhos","80+","Masculino","(D65-D77)",1
2010,"Guarulhos","80+","Masculino","(E10-E14)",24
2010,"Guarulhos","80+","Masculino","(G10-G99)",1
2010,"Guarulhos","80+","Masculino","(I20, I23-I25)",18
2010,"Guarulhos","80+","Masculino","(J40-J44)",35
2010,"Guarulhos","80+","Masculino","(J45-J46)",1
2010,"Guarulhos","80+","Masculino","(N17-N19)",9
2010,"Guarulhos","80+","Masculino","(Outros)",444
2010,"Guarulhos",NA,"Masculino","(Outros)",3
2010,"São Paulo","0-4","Feminino","(D65-D77)",2
2010,"São Paulo","0-4","Feminino","(G10-G99)",13
2010,"São Paulo","0-4","Feminino","(I80-I82)",1
2010,"São Paulo","0-4","Feminino","(J40-J44)",1
2010,"São Paulo","0-4","Feminino","(N17-N19)",1
2010,"São Paulo","0-4","Feminino","(Outros)",1016
2010,"São Paulo","0-4","Masculino","(D65-D77)",5
2010,"São Paulo","0-4","Masculino","(G10-G99)",15
2010,"São Paulo","0-4","Masculino","(I80-I82)",1
2010,"São Paulo","0-4","Masculino","(J40-J44)",4
2010,"São Paulo","0-4","Masculino","(N17-N19)",2
2010,"São Paulo","0-4","Masculino","(Outros)",1241
2010,"São Paulo","0-4",NA,"(Outros)",1
2010,"São Paulo","10-14","Feminino","(G10-G99)",6
2010,"São Paulo","10-14","Feminino","(I80-I82)",1
2010,"São Paulo","10-14","Feminino","(J40-J44)",1
2010,"São Paulo","10-14","Feminino","(J45-J46)",1
2010,"São Paulo","10-14","Feminino","(Outros)",88
2010,"São Paulo","10-14","Masculino","(G10-G99)",7
2010,"São Paulo","10-14","Masculino","(J40-J44)",2
2010,"São Paulo","10-14","Masculino","(Outros)",126
2010,"São Paulo","15-19","Feminino","(D65-D77)",2
2010,"São Paulo","15-19","Feminino","(G10-G99)",5
2010,"São Paulo","15-19","Feminino","(J45-J46)",2
2010,"São Paulo","15-19","Feminino","(Outros)",189
2010,"São Paulo","15-19","Masculino","(G10-G99)",15
2010,"São Paulo","15-19","Masculino","(J45-J46)",1
2010,"São Paulo","15-19","Masculino","(Outros)",531
2010,"São Paulo","20-24","Feminino","(D65-D77)",1
2010,"São Paulo","20-24","Feminino","(E10-E14)",6
2010,"São Paulo","20-24","Feminino","(G10-G99)",9
2010,"São Paulo","20-24","Feminino","(I80-I82)",1
2010,"São Paulo","20-24","Feminino","(Outros)",227
