"Armenor","Sexo","Ano","GrupoEtario","Populacao"
"Campinas","f",2010,"0-4",34579.9107444609
"Campinas","f",2010,"5-9",35069.5399670807
"Campinas","f",2010,"10-14",39206.7452004689
"Campinas","f",2010,"15-19",40884.7846062089
"Campinas","f",2010,"20-24",49241.9343504954
"Campinas","f",2010,"25-29",53589.2727954917
"Campinas","f",2010,"30-34",49959.3693904637
"Campinas","f",2010,"35-39",43882.3398829618
"Campinas","f",2010,"40-44",41907.2634668104
"Campinas","f",2010,"45-49",39395.1829007042
"Campinas","f",2010,"50-54",36273.0538246841
"Campinas","f",2010,"55-59",29909.1610144012
"Campinas","f",2010,"60-64",23520.9849579277
"Campinas","f",2010,"65-69",17212.8398244975
"Campinas","f",2010,"70-74",13926.5330781137
"Campinas","f",2010,"75-79",10397.0425258458
"Campinas","f",2010,"80+",13014.7698106095
"Campinas","m",2010,"0-4",36295.5984065992
"Campinas","m",2010,"5-9",36836.6178219507
"Campinas","m",2010,"10-14",40423.7462848659
"Campinas","m",2010,"15-19",41896.1932014858
"Campinas","m",2010,"20-24",48869.0346317775
"Campinas","m",2010,"25-29",51861.4994427304
"Campinas","m",2010,"30-34",47946.8734616785
"Campinas","m",2010,"35-39",41357.0574089733
"Campinas","m",2010,"40-44",38461.8971285737
"Campinas","m",2010,"45-49",35092.490745714
"Campinas","m",2010,"50-54",31772.7439662949
"Campinas","m",2010,"55-59",25632.7821903186
"Campinas","m",2010,"60-64",19313.5645678103
"Campinas","m",2010,"65-69",13949.8297928603
"Campinas","m",2010,"70-74",10596.6686389259
"Campinas","m",2010,"75-79",6923.22930897409
"Campinas","m",2010,"80+",6725.27671456976
"Guarulhos","f",2010,"0-4",48651.3847974814
"Guarulhos","f",2010,"5-9",52127.4843932366
"Guarulhos","f",2010,"10-14",56155.1249750319
"Guarulhos","f",2010,"15-19",52492.7558465827
"Guarulhos","f",2010,"20-24",55959.4612125832
"Guarulhos","f",2010,"25-29",59008.6973914921
"Guarulhos","f",2010,"30-34",56842.0702869978
"Guarulhos","f",2010,"35-39",51618.2945907609
"Guarulhos","f",2010,"40-44",47597.2473712026
"Guarulhos","f",2010,"45-49",41341.8375553048
"Guarulhos","f",2010,"50-54",35487.7034485385
"Guarulhos","f",2010,"55-59",27475.0832655755
"Guarulhos","f",2010,"60-64",20142.4590930476
"Guarulhos","f",2010,"65-69",13854.5829554062
"Guarulhos","f",2010,"70-74",10073.7586647405
"Guarulhos","f",2010,"75-79",6770.23792545575
"Guarulhos","f",2010,"80+",7297.73539069761
"Guarulhos","m",2010,"0-4",50891.4682553671
"Guarulhos","m",2010,"5-9",54174.0786973401
"Guarulhos","m",2010,"10-14",56896.8459716819
"Guarulhos","m",2010,"15-19",52762.4102994815
"Guarulhos","m",2010,"20-24",56575.5977914388
"Guarulhos","m",2010,"25-29",57065.0790988017
"Guarulhos","m",2010,"30-34",53467.6293872671
"Guarulhos","m",2010,"35-39",48671.4561244974
"Guarulhos","m",2010,"40-44",44882.5157613399
"Guarulhos","m",2010,"45-49",37162.7754293263
"Guarulhos","m",2010,"50-54",31103.9294285085
"Guarulhos","m",2010,"55-59",24346.8363275191
"Guarulhos","m",2010,"60-64",17150.0481004051
"Guarulhos","m",2010,"65-69",11063.7978845306
"Guarulhos","m",2010,"70-74",7477.55741480674
"Guarulhos","m",2010,"75-79",4317.89813898399
"Guarulhos","m",2010,"80+",3777.46225353336
"São Paulo","f",2010,"0-4",385442.938728348
"São Paulo","f",2010,"5-9",405635.937124046
"São Paulo","f",2010,"10-14",434804.729649677
"São Paulo","f",2010,"15-19",427336.491656207
"São Paulo","f",2010,"20-24",508933.981500345
"São Paulo","f",2010,"25-29",562299.755918113
"São Paulo","f",2010,"30-34",535879.876723113
"São Paulo","f",2010,"35-39",471879.050200905
"São Paulo","f",2010,"40-44",433520.025678775
"São Paulo","f",2010,"45-49",406028.992033346
"São Paulo","f",2010,"50-54",370691.457672647
"São Paulo","f",2010,"55-59",308313.137002594
"São Paulo","f",2010,"60-64",243248.795495922
"São Paulo","f",2010,"65-69",177659.287198355
"São Paulo","f",2010,"70-74",143984.523427923
"São Paulo","f",2010,"75-79",108069.454207488
"São Paulo","f",2010,"80+",139852.699621852
"São Paulo","m",2010,"0-4",403443.182571298
"São Paulo","m",2010,"5-9",423200.836122352
"São Paulo","m",2010,"10-14",444210.266136438
"São Paulo","m",2010,"15-19",426168.920357761
"São Paulo","m",2010,"20-24",495968.260402284
"São Paulo","m",2010,"25-29",526634.68856521
"São Paulo","m",2010,"30-34",487685.013810007
"São Paulo","m",2010,"35-39",428673.621811563
"São Paulo","m",2010,"40-44",390316.054296061
"São Paulo","m",2010,"45-49",346610.040994672
"São Paulo","m",2010,"50-54",305883.342211968
"São Paulo","m",2010,"55-59",247119.476705976
"São Paulo","m",2010,"60-64",185456.428914639
"São Paulo","m",2010,"65-69",128716.212428383
"São Paulo","m",2010,"70-74",96485.7232271865
"São Paulo","m",2010,"75-79",65182.933558321
"São Paulo","m",2010,"80+",67280.8502826836
"Campinas","f",2011,"0-4",34602.4590958724
"Campinas","f",2011,"5-9",34769.2830321551
"Campinas","f",2011,"10-14",38783.322362778
"Campinas","f",2011,"15-19",40668.2027928628
"Campinas","f",2011,"20-24",48207.8656714412
"Campinas","f",2011,"25-29",53653.2084217439
"Campinas","f",2011,"30-34",51040.7162275599
"Campinas","f",2011,"35-39",44894.1360670613
"Campinas","f",2011,"40-44",42116.8479474044
"Campinas","f",2011,"45-49",39857.5874612633
"Campinas","f",2011,"50-54",36920.3208320277
"Campinas","f",2011,"55-59",31018.7094124846
"Campinas","f",2011,"60-64",24600.5772076182
"Campinas","f",2011,"65-69",18043.6289943407
"Campinas","f",2011,"70-74",14271.304384176
"Campinas","f",2011,"75-79",10715.5622437536
"Campinas","f",2011,"80+",13692.7005312766
"Campinas","m",2011,"0-4",36305.6087294616
"Campinas","m",2011,"5-9",36518.7352028228
"Campinas","m",2011,"10-14",40162.8617724451
"Campinas","m",2011,"15-19",41598.4256098631
"Campinas","m",2011,"20-24",48176.7029566416
"Campinas","m",2011,"25-29",52140.3112936768
"Campinas","m",2011,"30-34",48947.7054872822
"Campinas","m",2011,"35-39",42292.5879895544
"Campinas","m",2011,"40-44",38803.1316939325
"Campinas","m",2011,"45-49",35593.2089623795
"Campinas","m",2011,"50-54",32276.4772414919
"Campinas","m",2011,"55-59",26540.5249090733
"Campinas","m",2011,"60-64",20197.6910653676
"Campinas","m",2011,"65-69",14522.025012996
"Campinas","m",2011,"70-74",10857.2260096243
"Campinas","m",2011,"75-79",7199.89002403156
"Campinas","m",2011,"80+",7111.70874786688
