 População Residente - São Paulo
População residente por Faixa Etária detalhada e Sexo
Período:2010
"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"Menor 1 ano";270906;262265;533171
"1 ano";265154;255207;520361
"2 anos";268435;259739;528174
"3 anos";274750;264549;539299
"4 anos";282371;271996;554367
"5 anos";287551;277088;564639
"6 anos";282113;272155;554268
"7 anos";284536;273864;558400
"8 anos";289938;278484;568422
"9 anos";313065;301839;614904
"10 anos";344450;329852;674302
"11 anos";334313;322415;656728
"12 anos";335682;327373;663055
"13 anos";333805;325811;659616
"14 anos";339576;331636;671212
"15 anos";343956;339054;683010
"16 anos";330549;324738;655287
"17 anos";329353;322597;651950
"18 anos";329599;321994;651593
"19 anos";334025;328043;662068
"20 a 24 anos";1835222;1802466;3637688
"25 a 29 anos";1881495;1908293;3789788
"30 a 34 anos";1741346;1815101;3556447
"35 a 39 anos";1549270;1634852;3184122
"40 a 44 anos";1444231;1536444;2980675
"45 a 49 anos";1308852;1444270;2753122
"50 a 54 anos";1149501;1286603;2436104
"55 a 59 anos";930303;1057688;1987991
"60 a 64 anos";705940;831069;1537009
"65 a 69 anos";499180;609906;1109086
"70 a 74 anos";371655;484550;856205
"75 a 79 anos";246532;354796;601328
"80 anos e mais";240219;427589;667808
"Total";20077873;21184326;41262199
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
